COMUNA;COMUNA CODE (PRE 1999);COMUNA CODE (2000-2008);COMUNA CODE (2008-2010);COMUNA CODE (2010-);REGION CODE (2000-2008);REGION CODE (2008-);HEALTH SERVICE (PRE 2007);HEALTH SERVICE (2008-);PROVINCE CODE (2000-2008);PROVINCE CODE (2008-2010);PROVINCE CODE (2010-);PROVINCE NAME (2000-2008);PROVINCE NAME (2008-2010);PROVINCE NAME (2010-);NAME REGION (2000-2008);NAME REGION (2008-);NAME HEALTH SERVICE (PRE 2007);NAME HEALTH SERVICE (2008-);
Arica;201;1201;15101;15101;1;15;1;1;12;151;151;Arica  ;Arica  ;Arica  ;De Tarapacá;De Arica y Parinacota;Arica;Arica;
Camarones;202;1202;15102;15102;1;15;1;1;12;151;151;Arica  ;Arica  ;Arica  ;De Tarapacá;De Arica y Parinacota;Arica;Arica;
Putre;205;1301;15201;15201;1;15;1;1;13;152;152;Parinacota;Parinacota;Parinacota;De Tarapacá;De Arica y Parinacota;Arica;Arica;
General Lagos;206;1302;15202;15202;1;15;1;1;13;152;152;Parinacota;Parinacota;Parinacota;De Tarapacá;De Arica y Parinacota;Arica;Arica;
Iquique;210;1101;1101;1101;1;1;2;2;11;11;11;Iquique  ;Iquique  ;Iquique  ;De Tarapacá;De Tarapacá;Iquique;Iquique;
Camiña;212;1102;1402;1402;1;1;2;2;11;14;14;Iquique  ;Tamarugal;Tamarugal;De Tarapacá;De Tarapacá;Iquique;Iquique;
Colchane;213;1103;1403;1403;1;1;2;2;11;14;14;Iquique  ;Tamarugal;Tamarugal;De Tarapacá;De Tarapacá;Iquique;Iquique;
Huara;211;1104;1404;1404;1;1;2;2;11;14;14;Iquique  ;Tamarugal;Tamarugal;De Tarapacá;De Tarapacá;Iquique;Iquique;
Pica;214;1105;1405;1405;1;1;2;2;11;14;14;Iquique  ;Tamarugal;Tamarugal;De Tarapacá;De Tarapacá;Iquique;Iquique;
Pozo Almonte;215;1106;1401;1401;1;1;2;2;11;14;14;Iquique  ;Tamarugal;Tamarugal;De Tarapacá;De Tarapacá;Iquique;Iquique;
Alto Hospicio;210;1107;1107;1107;1;1;2;2;11;11;11;Iquique  ;Iquique  ;Iquique  ;De Tarapacá;De Tarapacá;Iquique;Iquique;
Antofagasta;230;2101;2101;2101;2;2;3;3;21;21;21;Antofagasta;Antofagasta;Antofagasta;De Antofagasta;De Antofagasta;Antofagasta;Antofagasta;
Mejillones;231;2102;2102;2102;2;2;3;3;21;21;21;Antofagasta;Antofagasta;Antofagasta;De Antofagasta;De Antofagasta;Antofagasta;Antofagasta;
Sierra Gorda;232;2103;2103;2103;2;2;3;3;21;21;21;Antofagasta;Antofagasta;Antofagasta;De Antofagasta;De Antofagasta;Antofagasta;Antofagasta;
Taltal;233;2104;2104;2104;2;2;3;3;21;21;21;Antofagasta;Antofagasta;Antofagasta;De Antofagasta;De Antofagasta;Antofagasta;Antofagasta;
Calama;225;2201;2201;2201;2;2;3;3;22;22;22;El Loa;El Loa;El Loa;De Antofagasta;De Antofagasta;Antofagasta;Antofagasta;
Ollagüe;226;2202;2202;2202;2;2;3;3;22;22;22;El Loa;El Loa;El Loa;De Antofagasta;De Antofagasta;Antofagasta;Antofagasta;
San Pedro de Atacama;227;2203;2203;2203;2;2;3;3;22;22;22;El Loa;El Loa;El Loa;De Antofagasta;De Antofagasta;Antofagasta;Antofagasta;
Tocopilla;220;2301;2301;2301;2;2;3;3;23;23;23;Tocopilla  ;Tocopilla  ;Tocopilla  ;De Antofagasta;De Antofagasta;Antofagasta;Antofagasta;
María Elena;221;2302;2302;2302;2;2;3;3;23;23;23;Tocopilla  ;Tocopilla  ;Tocopilla  ;De Antofagasta;De Antofagasta;Antofagasta;Antofagasta;
Copiapó;240;3101;3101;3101;3;3;4;4;31;31;31;Copiapó  ;Copiapó  ;Copiapó  ;De Atacama;De Atacama;Atacama;Atacama;
Caldera;241;3102;3102;3102;3;3;4;4;31;31;31;Copiapó  ;Copiapó  ;Copiapó  ;De Atacama;De Atacama;Atacama;Atacama;
Tierra Amarilla;242;3103;3103;3103;3;3;4;4;31;31;31;Copiapó  ;Copiapó  ;Copiapó  ;De Atacama;De Atacama;Atacama;Atacama;
Chañaral;235;3201;3201;3201;3;3;4;4;32;32;32;Chañaral  ;Chañaral  ;Chañaral  ;De Atacama;De Atacama;Atacama;Atacama;
Diego de Almagro;236;3202;3202;3202;3;3;4;4;32;32;32;Chañaral  ;Chañaral  ;Chañaral  ;De Atacama;De Atacama;Atacama;Atacama;
Vallenar;245;3301;3301;3301;3;3;4;4;33;33;33;Huasco;Huasco;Huasco;De Atacama;De Atacama;Atacama;Atacama;
Alto del Carmen;248;3302;3302;3302;3;3;4;4;33;33;33;Huasco;Huasco;Huasco;De Atacama;De Atacama;Atacama;Atacama;
Freirina;246;3303;3303;3303;3;3;4;4;33;33;33;Huasco;Huasco;Huasco;De Atacama;De Atacama;Atacama;Atacama;
Huasco;247;3304;3304;3304;3;3;4;4;33;33;33;Huasco;Huasco;Huasco;De Atacama;De Atacama;Atacama;Atacama;
La Serena;250;4101;4101;4101;4;4;5;5;41;41;41;Elqui;Elqui;Elqui;De Coquimbo;De Coquimbo;Coquimbo;Coquimbo;
Coquimbo;252;4102;4102;4102;4;4;5;5;41;41;41;Elqui;Elqui;Elqui;De Coquimbo;De Coquimbo;Coquimbo;Coquimbo;
Andacollo;253;4103;4103;4103;4;4;5;5;41;41;41;Elqui;Elqui;Elqui;De Coquimbo;De Coquimbo;Coquimbo;Coquimbo;
